           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -2.5             -2.5                2          -90.352          100.917          49.7209         -110.096          19.5731          -74.421
               -2             -2.5                2         -115.518          87.7565           69.685         -89.1445          35.2807         -63.0188
             -1.5             -2.5                2         -136.037          69.3368          87.0535         -63.9026          49.5766         -48.9438
               -1             -2.5                2         -150.641          46.1081          100.905         -35.5938          61.7885         -32.9094
             -0.5             -2.5                2         -158.546          19.0635          110.584         -5.84394          71.3961         -15.8552
                0             -2.5                2         -159.659         -10.5551          115.873          23.8072          78.1672          1.33599
              0.5             -2.5                2         -153.909         -41.6126          116.569          52.0231          81.8915          17.9191
                1             -2.5                2         -141.077         -72.8219          112.337          77.3215          82.2598          33.0952
              1.5             -2.5                2          -122.04         -102.802          103.586          98.7094          79.4681          46.3257
                2             -2.5                2         -97.6837         -130.396          90.7671          115.528          73.7543           57.264
              2.5             -2.5                2         -68.9057         -154.537          74.3583          127.304          65.3808          65.6695
                3             -2.5                2         -36.5524         -173.801          54.7755          133.365          54.5442            71.21
              3.5             -2.5                2         -2.13612         -187.782          33.0722          134.303          41.9357          74.1886
                4             -2.5                2          33.2393          -195.96          10.0285          130.475            28.05           74.785
              4.5             -2.5                2          68.4776         -197.866         -13.5331          122.347          13.4097          73.2235
                5             -2.5                2          102.411         -193.135         -36.6625          110.578         -1.37819          69.8106
              5.5             -2.5                2          134.208          -182.35         -58.5397          96.2799         -15.7389          65.0663
                6             -2.5                2          163.165         -165.862         -78.4423          80.3066         -29.1851          59.3703
              6.5             -2.5                2          188.549         -143.988         -95.5784          63.5076         -41.1976          53.0788
                7             -2.5                2          209.936         -117.535         -109.356           46.786         -51.3679          46.5699
              7.5             -2.5                2          227.283         -87.5425         -119.534          30.8347         -59.5049           40.134
                8             -2.5                2          240.537          -54.882         -125.893           16.185         -65.4503          33.9791
              8.5             -2.5                2            249.5          -20.415         -128.103           3.3671         -68.9924           28.292
                9             -2.5                2          254.586          14.7577          -126.48         -7.45761         -70.3084          23.1425
              9.5             -2.5                2          256.169          49.7537         -121.386         -16.2712         -69.6148          18.5453
               10             -2.5                2          254.589          83.7982         -113.224         -23.1354         -67.1574          14.4874
             10.5             -2.5                2          250.035          116.002         -102.358         -28.0859         -63.1687          10.9651
               11             -2.5                2          243.206          145.929         -89.6967          -31.556         -58.1881           7.8712
             11.5             -2.5                2          234.514           173.19         -75.9066         -33.8315          -52.613          5.14856
               12             -2.5                2          224.343          197.451         -61.6759         -35.1872         -46.8461          2.75697
             12.5             -2.5                2           213.09          218.454         -47.7649         -35.8948         -41.3193         0.677688
               13             -2.5                2          201.218          236.427         -34.7869         -36.2168          -36.361         -1.11141
             13.5             -2.5                2          189.062          251.499         -23.2333         -36.2898         -32.2216         -2.58853
               14             -2.5                2          176.957          263.767         -13.5824         -36.1707         -29.1294         -3.69171
             14.5             -2.5                2          165.235          273.564         -6.08907         -35.8391         -27.1717         -4.35295
               15             -2.5                2          154.158          281.321        -0.729942          -35.212         -26.2824         -4.52009
             15.5             -2.5                2          143.965          287.356          2.57673         -34.1541         -26.3611         -4.12835
               16             -2.5                2          134.937           291.92          3.99129         -32.4604         -27.2523         -3.09142
             16.5             -2.5                2          127.289          295.319          3.90816         -29.9539         -28.6928         -1.37844
               17             -2.5                2          121.202          297.781          2.82049          -26.487         -30.3792          1.00917
             17.5             -2.5                2          116.836          299.438            1.277         -21.9536         -31.9922          4.04126
               18             -2.5                2          114.324           300.34        -0.171912         -16.3234         -33.2303          7.65292
             18.5             -2.5                2          113.744          300.455        -0.989702         -9.66049         -33.8211          11.7382
               19             -2.5                2          115.154          299.662        -0.691837         -2.10977         -33.5331          16.1663
             19.5             -2.5                2          118.552          297.777          1.11212          6.08242         -32.2011           20.777
               20             -2.5                2          123.862           294.57           4.6734          14.5879         -29.7431          25.3971
             20.5             -2.5                2          130.993          289.745          10.1475          23.0212          -26.125           29.848
               21             -2.5                2          139.769          282.988          17.5271          30.9297         -21.3998          33.9453
             21.5             -2.5                2          149.882           274.12          26.5609          37.8853         -15.7411          37.5413
               22             -2.5                2          161.052          262.918          36.9713          43.4893         -9.31376          40.5062
             22.5             -2.5                2          172.959          249.108          48.4027          47.3074         -2.30488          42.7026
               23             -2.5                2          185.173          232.515          60.3397          48.9686           5.0381          44.0255
             23.5             -2.5                2          197.235          213.245          72.2237          48.3687          12.4598          44.4662
               24             -2.5                2          208.699          191.349          83.5401          45.4031          19.7445          43.9997
             24.5             -2.5                2          219.023          166.845          93.7028           39.947          26.6654          42.5757
               25             -2.5                2          227.692          140.041          102.207          32.1614          33.0326          40.2266
             25.5             -2.5                2          234.296          111.362          108.715          22.3507          38.7224          37.0178
               26             -2.5                2          238.417          81.2164          112.926          10.8097          43.6264          32.9905
             26.5             -2.5                2          239.452          50.0644          114.448         -2.15702          47.5972           28.146
               27             -2.5                2          237.185          18.5774          113.285         -16.0098          50.6104          22.5853
             27.5             -2.5                2          231.446         -12.6194          109.489         -30.2681          52.6422          16.3907
