           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -2.5             -2.5                2        0.0167334         0.100927         0.165487        -0.156874        -0.327715         0.350615
               -2             -2.5                2       -0.0103782         0.099683         0.199141        -0.133215         -0.41527         0.305246
             -1.5             -2.5                2       -0.0373247         0.093965         0.222774        -0.102819        -0.484767         0.242723
               -1             -2.5                2       -0.0628272         0.083982         0.234974       -0.0668004        -0.531934         0.164725
             -0.5             -2.5                2       -0.0856622        0.0703623         0.235461       -0.0268962        -0.554475        0.0746383
                0             -2.5                2        -0.105005        0.0539502         0.225108        0.0150332        -0.552645       -0.0234386
              0.5             -2.5                2        -0.120146        0.0354639         0.204754        0.0573393        -0.526773        -0.125801
                1             -2.5                2         -0.13022        0.0156219         0.175179        0.0981655        -0.476811        -0.228273
              1.5             -2.5                2        -0.135158      -0.00468433         0.138624         0.135823        -0.406514        -0.326455
                2             -2.5                2        -0.135053       -0.0247451        0.0971199         0.168957        -0.319552        -0.416674
              2.5             -2.5                2        -0.130088       -0.0439458        0.0525834         0.196348        -0.219571        -0.495544
                3             -2.5                2        -0.120297       -0.0615788       0.00704211         0.216298        -0.110221        -0.558513
              3.5             -2.5                2        -0.106701       -0.0773172       -0.0374625         0.228646       0.00321275        -0.604322
                4             -2.5                2        -0.089986       -0.0908584       -0.0793863         0.232984         0.116818        -0.631314
              4.5             -2.5                2       -0.0708794        -0.101935        -0.117318         0.228983         0.226808        -0.637988
                5             -2.5                2       -0.0502339        -0.110316        -0.149947         0.216493         0.329331        -0.623171
              5.5             -2.5                2       -0.0290068        -0.116159        -0.176955         0.196564          0.42218        -0.588766
                6             -2.5                2      -0.00794883        -0.119523         -0.19806         0.169935         0.503535        -0.535948
              6.5             -2.5                2        0.0121878        -0.120426        -0.212994         0.137352         0.571573        -0.465816
                7             -2.5                2        0.0307484        -0.119072        -0.222086         0.100174         0.625758        -0.381103
              7.5             -2.5                2        0.0473463        -0.115781        -0.226091        0.0599615         0.666826         -0.28532
                8             -2.5                2        0.0616816        -0.110791        -0.225621        0.0180803         0.695391        -0.181479
              8.5             -2.5                2        0.0734088        -0.104286        -0.221162       -0.0239897         0.711745       -0.0726708
                9             -2.5                2        0.0826178        -0.096644        -0.213697       -0.0647381         0.717886        0.0373052
              9.5             -2.5                2        0.0894632       -0.0881794        -0.203979         -0.10297         0.715489         0.145365
               10             -2.5                2        0.0941342       -0.0791763        -0.192609        -0.137652         0.705992         0.248777
             10.5             -2.5                2        0.0967646       -0.0699296        -0.180056        -0.167502          0.69044         0.344319
               11             -2.5                2        0.0978792       -0.0607643        -0.166846        -0.192335         0.670697         0.430634
             11.5             -2.5                2        0.0978215       -0.0519411        -0.153257        -0.211911         0.647805         0.506473
               12             -2.5                2        0.0969211       -0.0437243        -0.139477        -0.226126         0.622583         0.570832
             12.5             -2.5                2         0.095516       -0.0363958        -0.125627        -0.235108         0.595702         0.623084
               13             -2.5                2        0.0939245       -0.0300959        -0.111771        -0.239771         0.567774         0.664457
             13.5             -2.5                2        0.0923532        -0.024968       -0.0979455        -0.240839         0.539151         0.695836
               14             -2.5                2        0.0909601       -0.0211789       -0.0842001        -0.239083         0.510114         0.718122
             14.5             -2.5                2        0.0898241        -0.018785       -0.0706216        -0.235582         0.480984         0.733094
               15             -2.5                2        0.0889321       -0.0177284       -0.0573337        -0.231372         0.452103         0.742777
             15.5             -2.5                2        0.0882248       -0.0179629       -0.0445149        -0.227305         0.423873         0.748799
               16             -2.5                2        0.0875873       -0.0194425       -0.0334067        -0.224388         0.399057          0.75237
             16.5             -2.5                2        0.0868622       -0.0220124       -0.0240485        -0.222797         0.377852         0.754971
               17             -2.5                2        0.0858722       -0.0254828       -0.0125509        -0.222928          0.35126         0.758878
             17.5             -2.5                2        0.0844334       -0.0296467      -0.00432324         -0.22536         0.331738          0.76325
               18             -2.5                2        0.0823796       -0.0342909       0.00144073        -0.229651         0.317625         0.768397
             18.5             -2.5                2        0.0795728       -0.0391918       0.00490117        -0.235596           0.3087         0.774212
               19             -2.5                2        0.0759015       -0.0441357       0.00577278        -0.242792         0.305825         0.780019
             19.5             -2.5                2        0.0713013       -0.0489206         0.003817        -0.250622         0.309798         0.784681
               20             -2.5                2        0.0657621       -0.0533718      -0.00099178        -0.258245         0.320902          0.78675
             20.5             -2.5                2        0.0592969       -0.0573326      -0.00700426        -0.263892         0.335283         0.785559
               21             -2.5                2        0.0519733       -0.0606708       -0.0165694        -0.269067         0.358665         0.779033
             21.5             -2.5                2        0.0439386        -0.063318       -0.0288295        -0.272257            0.389         0.765523
               22             -2.5                2        0.0353223       -0.0652105        -0.043202        -0.272726         0.424718          0.74389
             22.5             -2.5                2         0.026265       -0.0662729       -0.0593658        -0.269928         0.464725         0.712738
               23             -2.5                2        0.0169516       -0.0664571       -0.0768614        -0.263492         0.507355         0.671112
             23.5             -2.5                2       0.00757737       -0.0657879       -0.0951443        -0.253484         0.550657         0.619265
               24             -2.5                2      -0.00168416       -0.0642533        -0.113756        -0.239929         0.592785         0.557352
             24.5             -2.5                2       -0.0106357       -0.0617993        -0.132203        -0.222809          0.63155         0.485495
               25             -2.5                2       -0.0190892       -0.0584332        -0.149982         -0.20247         0.664837         0.404998
             25.5             -2.5                2       -0.0268953       -0.0541879        -0.166682        -0.179379         0.691011         0.317626
               26             -2.5                2       -0.0339006        -0.049071        -0.181907        -0.153918         0.708507         0.225066
             26.5             -2.5                2       -0.0398829       -0.0430471        -0.195128        -0.126403         0.715224         0.129189
               27             -2.5                2       -0.0447339       -0.0362031        -0.206034       -0.0973998         0.710543         0.032511
             27.5             -2.5                2       -0.0483507        -0.028626        -0.214328       -0.0673686         0.694085       -0.0627389
               28             -2.5                2       -0.0506243       -0.0204146        -0.219683       -0.0367221         0.665609        -0.154409
             28.5             -2.5                2       -0.0513353        -0.011679        -0.221481      -0.00590111         0.624287        -0.239723
               29             -2.5                2       -0.0505312       -0.0026572        -0.219659        0.0246117         0.571684        -0.317018
             29.5             -2.5                2       -0.0481922        0.0064296        -0.213977        0.0543707         0.508783        -0.384609
               30             -2.5                2       -0.0443122        0.0153246        -0.204174        0.0828774          0.43672        -0.440858
             30.5             -2.5                2       -0.0388652         0.023683        -0.189826         0.109425         0.356735        -0.483591
               31             -2.5                2       -0.0320925        0.0312231        -0.171231         0.133523         0.271346        -0.512795
             31.5             -2.5                2       -0.0241703        0.0376543        -0.148497         0.154552         0.182539        -0.527888
               32             -2.5                2       -0.0153113        0.0426561        -0.121781         0.171738        0.0924667        -0.528176
             32.5             -2.5                2       -0.0058246        0.0459088       -0.0914798         0.184193       0.00370082        -0.513274
               33             -2.5                2        0.0038938        0.0473273       -0.0584895         0.191534       -0.0814258        -0.484508
             33.5             -2.5                2        0.0134748        0.0468125       -0.0236449         0.193234        -0.160696        -0.442649
               34             -2.5                2         0.022488        0.0442617        0.0120316         0.188603        -0.231517        -0.388336
             34.5             -2.5                2        0.0304872        0.0397737        0.0471881         0.177404        -0.291615        -0.323284
               35             -2.5                2        0.0371385         0.033628        0.0805133         0.159958        -0.339649        -0.249875
             35.5             -2.5                2        0.0421298        0.0261029         0.110699         0.136568         -0.37421        -0.170247
               36             -2.5                2        0.0450825        0.0175236         0.136099         0.107545        -0.393303       -0.0867659
             36.5             -2.5                2        0.0458865        0.0084118         0.155527        0.0741004        -0.396755      -0.00257889
               37             -2.5                2        0.0445561     -0.000733085         0.168149        0.0375912        -0.384957        0.0794045
             37.5             -2.5                2        0.0411547       -0.0094292         0.173251     -0.000557897        -0.358389         0.156336
             -2.5               -2                2      -0.00713024         0.103383         0.199816        -0.125989        -0.401273          0.27443
               -2               -2                2       -0.0341826        0.0962953         0.228648       -0.0947927        -0.476968         0.209811
             -1.5               -2                2       -0.0600222         0.084714         0.245714       -0.0586345        -0.530758         0.131884
               -1               -2                2       -0.0833716        0.0691214         0.249823       -0.0189923        -0.558784        0.0433253
             -0.5               -2                2         -0.10311        0.0504175         0.241098        0.0222293         -0.55956       -0.0518823
                0               -2                2        -0.118586        0.0296382         0.220877        0.0632401        -0.534311        -0.149597
              0.5               -2                2        -0.129238       0.00766899         0.190421         0.102463        -0.484252        -0.246081
                1               -2                2        -0.134355       -0.0145671          0.15099         0.138087        -0.410354        -0.337013
              1.5               -2                2        -0.134089       -0.0361424         0.105286           0.1688          -0.3174        -0.418728
                2               -2                2        -0.128722       -0.0563494        0.0557078         0.193604        -0.209923        -0.488289
              2.5               -2                2         -0.11861       -0.0745951       0.00450408         0.211632       -0.0923587         -0.54306
                3               -2                2        -0.103983       -0.0901543       -0.0458543         0.221537        0.0305668        -0.579212
              3.5               -2                2       -0.0859854        -0.102911       -0.0932761         0.223623         0.153322        -0.596719
                4               -2                2        -0.065412          -0.1127        -0.136117         0.217826         0.271636        -0.594835
              4.5               -2                2       -0.0430901        -0.119398        -0.172894         0.204151         0.381401        -0.572968
                5               -2                2        -0.019963        -0.122948        -0.202277         0.182784         0.478523        -0.530915
              5.5               -2                2       0.00303234        -0.123719        -0.224228         0.154953         0.561286        -0.471244
                6               -2                2        0.0251474        -0.121935        -0.238663          0.12155         0.628167        -0.395698
              6.5               -2                2        0.0456248        -0.117779        -0.245511        0.0834875         0.677614         -0.30597
                7               -2                2         0.063865        -0.111609         -0.24544        0.0421758          0.70973        -0.205123
              7.5               -2                2        0.0795768        -0.103847        -0.239575     -0.000884904         0.726059       -0.0966625
                8               -2                2        0.0925356       -0.0948165        -0.228843       -0.0443671         0.727895        0.0163854
              8.5               -2                2         0.102459       -0.0847971        -0.214061       -0.0867866         0.716201         0.130806
                9               -2                2         0.109557       -0.0741799        -0.196537        -0.126798         0.693823         0.243188
              9.5               -2                2         0.114082       -0.0632726         -0.17727        -0.163343         0.663113         0.350799
               10               -2                2          0.11631       -0.0523472        -0.157075        -0.195507         0.626111         0.451229
             10.5               -2                2         0.116464       -0.0417071        -0.136671        -0.222085         0.584556         0.541465
               11               -2                2         0.115155       -0.0315842        -0.116617        -0.243093         0.540649         0.620752
             11.5               -2                2         0.112791        -0.022186       -0.0972363        -0.258412         0.495738         0.688206
               12               -2                2         0.109763       -0.0137251        -0.078741        -0.268049         0.450912          0.74316
